	ols	count
0	astronomical body part	8730
1	astronomical object	6541
2	astronomical body	6424
3	environmental material	6397
4	compound astronomical body part	5536
5	environmental system process	4242
6	solid astronomical body part	3274
7	solid environmental material	3194
8	layer	2751
9	fluid environmental material	2615
10	fluid astronomical body part	2539
11	anthropogenic environmental process	2460
12	liquid astronomical body part	2342
13	interface layer	2301
14	surface layer	2125
15	solid layer	2017
16	solid surface layer	1973
17	surface of an astronomical body	1941
18	body of liquid	1737
19	water mass	1732
20	water body	1724
21	hydrosphere	1667
22	land	1604
23	liquid environmental material	1567
24	landform	1487
25	liquid water	1414
26	technosphere	1286
27	environmental system	1271
28	construction	1261
29	human construction	1255
30	mass of environmental material	1119
31	mass of solid material	1091
32	human-directed construction process	1076
33	hydrological process	1044
34	particulate environmental material	1040
35	ecosystem	973
36	particle	960
37	lentic water body	952
38	marine water body	789
39	biosphere	787
40	manufacturing process	765
41	organic material	750
42	material transport process	721
43	material accumulation process	698
44	environmental system determined by a quality	698
45	liquid accumulation process	663
46	water accumulation process	659
47	terrestrial ecosystem	628
48	particle of sand	627
49	mineral material	625
50	sand	616
51	clay	610
52	particle of clay	606
53	slope	606
54	silt	598
55	particle of silt	594
56	planet	554
57	pedosphere	546
58	building	546
59	biome	539
60	landmass	515
61	fluid layer	505
62	planetary surface	492
63	surface landform	457
64	depressed landform	455
65	planetary landmass	441
66	manufactured product	435
67	building part	431
68	terrestrial biome	406
69	gaseous environmental material	392
70	water-holding capacity of soil	390
71	water-holding capacity	390
72	soil	380
73	anthropogenic ecosystem conversion process	379
74	anthropisation	379
75	environmental condition	372
76	saline water	355
77	saline water body	266
78	fluid interface layer	257
79	rock	252
80	vegetation layer	228
81	canopy	223
82	forest ecosystem	222
83	material transformation process	207
84	sea water	204
85	anthropogenic environment	202
86	forest canopy	196
87	healthcare facility	195
88	anthropised ecosystem	189
89	environmental zone	189
90	air	188
91	erosion	187
92	ice	186
93	atmospheric layer	181
94	planetary erosion	175
95	water ice	174
96	atmosphere	172
97	planned environmental usage process	170
98	hydroform	161
99	geographic feature	161
100	terrestrial environmental zone	154
101	fresh water	153
102	lotic water body	153
103	watercourse	151
104	volcanic eruption	150
105	channel of a watercourse	148
106	water flow process	143
107	coast	140
108	liquid layer	135
109	ecosystem process	132
110	aquatic layer	130
111	marine environment	129
112	lake	128
113	climactic ecological succession	128
114	submerged bed	128
115	hospital	128
116	sediment	128
117	ecological succession	128
118	stream	125
119	elevated landform	123
120	soil layer	123
121	soil surface layer	119
122	fresh water body	115
123	tropical	114
124	vegetated area	111
125	hydrographic feature	111
126	anthropogenic environmental material	111
127	planetary structural layer	110
128	cave	109
129	anthropogenic terrestrial biome	108
130	water vapour	106
131	fluid front	105
132	wetland ecosystem	104
133	aquatic ecosystem	103
134	aquatic biome	98
135	anthropogenic generation of energy	97
136	boundary layer	92
137	atmospheric boundary layer	91
138	cave floor	91
139	cave wall	91
140	brackish water	90
141	subtropical	90
142	material congelation process	88
143	cryoform	87
144	environmental system determined by an organism	83
145	marine ecosystem	81
146	marine biome	79
147	planetary crust	78
148	sedimentary rock	76
149	reef	75
150	fiat part of an astronomical object	72
151	marine reef	72
152	ice mass	72
153	fluid cline	72
154	cryosphere	71
155	marine bed	71
156	agricultural ecosystem	71
157	temperate	69
158	estuarine water	69
159	desert	67
160	bank	66
161	estuary	65
162	crystal	64
163	thermolysis	63
164	waste role	63
165	aerosol formation process	63
166	fluid surface layer	63
167	industrial building	63
168	glacial process	62
169	hydrocarbon-based environmental material	62
170	tropical environment	62
171	aquatic estuarine layer	61
172	water ice crystal	61
173	liquid surface layer	60
174	glacial erosion process	59
175	mount	59
176	cropland ecosystem	59
177	forest biome	57
178	shore	57
179	sea coast	57
180	combustion process	57
181	rock-precursor intrusion process	56
182	motor	55
183	meltwater	55
184	ocean	54
185	material extraction process	52
186	cropland biome	52
187	woodland area	52
188	waste material	51
189	altitudinal condition	51
190	coastal wetland ecosystem	51
191	environmental system determined by a material	50
192	histosol	49
193	anthropogenic geographic feature	49
194	peat soil	48
195	field	47
196	biofilm material	47
197	spring	47
198	sea floor	46
199	hospital unit facility	46
200	oil	45
201	broadleaf forest	44
202	marine benthic biome	44
203	temperate environment	44
204	commercial building	43
205	aerosol	43
206	tropical forest	43
207	animal-associated environment	42
208	atmospheric process	42
209	stream channel	42
210	mass of compounded environmental materials	41
211	environment associated with an animal part or small animal	41
212	precipitation process	41
213	bodily fluid material	41
214	tectonic movement	41
215	plumbing fixture	40
216	mediterranean	39
217	human settlement	39
218	marine environmental zone	39
219	river	39
220	usage of an environment for industry	39
221	brackish estuary	38
222	glacier	37
223	vehicle	37
224	geographic basin	36
225	grassland ecosystem	36
226	toilet fixture	35
227	melting	35
228	liquid air-water interface layer	35
229	piece of rock	35
230	tundra ecosystem	34
231	usage of an environment for business	34
232	farm	34
233	aquatic environment	34
234	continental margin	33
235	plain	33
236	mountain	33
237	freshwater stream	33
238	enriched soil	33
239	desublimation of water vapour into ice	32
240	temperate forest	32
241	transport feature	32
242	hydrological melting process	32
243	tropical biome	32
244	desublimation process	32
245	igneous rock	32
246	gaseous front	32
247	fishing	32
248	frozen land	31
249	snow crystal	31
250	continental shelf	31
251	geological fracture	31
252	weather front	31
253	petroleum	30
254	broadleaf forest biome	30
255	water current	30
256	arid	30
257	pycnocline	30
258	dust	29
259	temperate biome	29
260	dense settlement	29
261	marine cline	29
262	marine current	29
263	mine	28
264	tundra biome	28
265	administrative region	28
266	island	28
267	public infrastructure	28
268	icemelt	28
269	subtropical environment	28
270	building envelope	27
271	lamp	27
272	water ice formation process	27
273	woodland ecosystem	27
274	domestic building	26
275	dense settlement biome	26
276	usage of an environment for transportation	26
277	house	26
278	biomaterial containment unit	26
279	coal	26
280	lava	25
281	area of barren land	25
282	hydrological precipitation process	25
283	woodland canopy	25
284	valley	25
285	desert area	24
286	montane	24
287	frozen soil	24
288	bedrock dissolution	24
289	protected area	24
290	manure	24
291	agricultural environmental material	24
292	shoreline	24
293	refinement process	24
294	pit	24
295	water-body-derived ice	24
296	chemical engineering process	24
297	needleleaf forest	23
298	tropical broadleaf forest	23
299	sea ice	23
300	snow	23
301	masonry cement	23
302	pond	22
303	troposphere	22
304	urban biome	22
305	freezing	21
306	hill	21
307	plantation	21
308	building wall	21
309	freezing of water into water ice	21
310	subtropical biome	20
311	mud	20
312	solutional cave	20
313	water surface	20
314	flooding	20
315	freshwater ecosystem	20
316	exterior wall	20
317	area of protected biodiversity	19
318	biological waste material	19
319	crater	19
320	marine layer	19
321	coniferous forest biome	19
322	coral reef	19
323	mass fluid flow	19
324	limestone cave	19
325	latrine pit	19
326	paraffin lamp	19
327	advective transport process	19
328	salt material	18
329	excreta material	18
330	permafrost	18
331	concrete	18
332	snowfall	18
333	organic waste material	18
334	condensation process	18
335	agricultural field	18
336	ash	18
337	littoral zone	18
338	mixed forest	18
339	garden	18
340	sedimentation in a water body	18
341	freshwater biome	18
342	chemical colorant	18
343	ecotone	18
344	alpine	18
345	hypersaline water	18
346	stream bank	17
347	thawing process	17
348	constructed pavement	17
349	swamp ecosystem	17
350	permafrost thawing process	17
351	material warming process	17
352	masonry unit	17
353	brick material	17
354	constructed barrier	17
355	lithosphere	17
356	tree line ecotone	17
357	underground water	17
358	thermocline	17
359	human house	16
360	warming of a fluid	16
361	warming of a solid	16
362	river bank	16
363	mass wasting	16
364	animal manure	16
365	oceanic front	16
366	chemical product	16
367	ice-bearing permafrost thawing process	16
368	chemical precipitation process	16
369	landslide process	16
370	warming of a liquid	16
371	beach	16
372	groundwater	16
373	marine littoral zone	16
374	dry lake	16
375	political entity	16
376	freshwater river	16
377	marine neritic benthic zone biome	16
378	alluvial soil	15
379	area of tundra	15
380	cryoturbation of soil	15
381	frost action process	15
382	polar	15
383	room	15
384	fecal material	15
385	intrusion	15
386	piece of gravel	15
387	piece of furniture	15
388	karst	15
389	aeolian transport process	15
390	tropical broadleaf forest biome	15
391	building roof	15
392	land ice mass	15
393	latrine	14
394	cold front	14
395	estuarine open water pycnocline	14
396	eutrophic water	14
397	new ice	14
398	anthropised terrestrial environmental zone	14
399	gaseous astronomical body part	14
400	estuarine coastal pycnocline	14
401	rock intrusion	14
402	divergent tectonic movement	14
403	shop	14
404	dam	14
405	gravel	14
406	marine pelagic biome	13
407	meromictic lake	13
408	mangrove swamp	13
409	road	13
410	mineral spring	13
411	depositional process	13
412	chemically enriched sediment	13
413	motor vehicle	13
414	stratosphere	13
415	fire	13
416	magma	13
417	national geopolitical entity	13
418	limestone	13
419	cryospheric layer	13
420	warm front	13
421	part of a landmass	13
422	sediment surface	13
423	generation of energy from coal	12
424	ore	12
425	new ice formation process	12
426	structural basin	12
427	peatland	12
428	woodland biome	12
429	range of mounts	12
430	intertidal zone	12
431	wood	12
432	frost heaving process	12
433	thermokarst	12
434	sludge	12
435	anatomical entity environment	12
436	wax	12
437	meteor	12
438	residential building	12
439	soil texture	12
440	artificial channel	12
441	atmospheric aerosol	12
442	freshwater lake	12
443	floating ice mass	12
444	drift ice mass	12
445	cloud	12
446	volcano	12
447	temperate broadleaf forest	12
448	lake layer	12
449	brick	12
450	frost	11
451	surface layer of a water body	11
452	soil organic matter	11
453	energy	11
454	power plant	11
455	usage of an environment for residential activity	11
456	sterile water	11
457	bioreactor	11
458	freshwater river biome	11
459	river channel	11
460	subsurface zone of an astronomical body	11
461	desert ecosystem	11
462	aerosolised liquids	11
463	frazil	11
464	artificial lake	11
465	marine sub-littoral zone	10
466	mediterranean biome	10
467	temperate broadleaf forest biome	10
468	first-order administrative region	10
469	intensive care unit facility	10
470	phreatic zone	10
471	airport	10
472	temperate mixed forest	10
473	tropical moist broadleaf forest	10
474	paddy field	10
475	scrubland area	10
476	medical clinic	10
477	mining	10
478	outhouse	10
479	hydrogenous sediment	10
480	pit latrine	10
481	hypolimnion	10
482	mouth	10
483	continental slope	10
484	thermosphere	10
485	thermokarst depression	10
486	channel	10
487	hydrothermal vent	10
488	hand tool	10
489	desert biome	10
490	glass	10
491	volcanic feature	10
492	container of an intermittent water body	10
493	constructed transport system	10
494	sea	10
495	restaurant	10
496	plant matter	10
497	subtropical forest	10
498	alkaline water	10
499	hydrocarbon gas	10
500	mixed forest biome	9
501	vadose zone	9
502	grassland area	9
503	oligotrophic water	9
504	material isosurface	9
505	sediment permeated by saline water	9
506	sediment permeated by freshwater	9
507	marine hydrothermal vent	9
508	ocean current	9
509	continental crust	9
510	fog	9
511	sea ice formation process	9
512	animal house	9
513	polymetallic nodule	9
514	tundra climatic condition	9
515	clastic sedimentary rock	9
516	ice cap	9
517	mesosphere	9
518	land fire	9
519	contaminated water	9
520	subpolar	9
521	human dwelling	9
522	mass of fluid	9
523	mass of gas	9
524	marine thermocline	9
525	glue	9
526	planetary subsurface zone	9
527	reservoir	9
528	conflagration	9
529	loam	9
530	ditch	9
531	thatch	9
532	tectonic plate	9
533	cliff	9
534	ecozone	9
535	wildfire	9
536	aquifer	8
537	gas emission process	8
538	rockslide process	8
539	organically enriched sediment	8
540	public transit system	8
541	dune	8
542	tropical needleleaf forest	8
543	seamount	8
544	impact event	8
545	igneous intrusion process	8
546	oxic water	8
547	coastal flooding	8
548	hypoxic water	8
549	energy transfer process	8
550	estuarine open water surface layer	8
551	estuarine coastal surface layer	8
552	high osmolarity environment	8
553	glacial valley	8
554	landslide	8
555	canal	8
556	oceanic pelagic zone biome	8
557	impact between astronomical bodies	8
558	upwelling	8
559	bridge	8
560	estuarine coastal upper water column	8
561	watercraft	8
562	holomictic lake	8
563	water ice layer	8
564	area protected according to IUCN guidelines	8
565	building floor	8
566	vivarium	8
567	anoxic water	8
568	estuarine open water upper water column	8
569	estuarine coastal lower water column	8
570	ice floe	8
571	nuclear reactor	8
572	train	8
573	volcanic cone	8
574	inlet	8
575	marine water mass	8
576	kerogen	8
577	planetary atmosphere	8
578	shrubland biome	8
579	temperate mixed forest biome	7
580	boat	7
581	temperate coniferous forest biome	7
582	tropical coniferous forest biome	7
583	anaerobic sediment	7
584	observing system	7
585	marine eulittoral zone	7
586	metalimnion	7
587	saline lake	7
588	estuarine open water lower water column	7
589	abyssal plain	7
590	material decumulation zone	7
591	tropical moist broadleaf forest biome	7
592	rangeland biome	7
593	sandy beach	7
594	savanna biome	7
595	uranium ore	7
596	grassland biome	7
597	fossilization of organic material	7
598	large river biome	7
599	compost	7
600	planetary photic zone	7
601	flood plain	7
602	latrine slab	7
603	middle atmospheric level	7
604	forested area	7
605	coal mine	7
606	iron sheet	7
607	polar environment	7
608	second-order administrative region	7
609	office	7
610	day care building	7
611	wetland area	7
612	boulder	7
613	dye	7
614	polling place	7
615	rapid transit system	7
616	airport terminal	7
617	intertidal ecosystem	7
618	tidal flow process	7
619	soot	7
620	mass liquid flow	7
621	contaminated soil	7
622	seep	7
623	alluvial plain	7
624	frazil ice	7
625	metallic material	7
626	conveyor belt component	7
627	mountain range	6
628	fume	6
629	animal habitation	6
630	ridge	6
631	freshwater wetland ecosystem	6
632	area of perennial ice or snow	6
633	mineral deposit	6
634	ice decumulation zone	6
635	marine surface current	6
636	aeroform	6
637	paint	6
638	straw	6
639	subtropical broadleaf forest	6
640	saline environment	6
641	pack ice mass	6
642	educational facility	6
643	lantern	6
644	glacial lake	6
645	area of developed space	6
646	ocean floor	6
647	material accumulation zone	6
648	tectonic plate boundary	6
649	periphytic biofilm	6
650	forest soil	6
651	food shop	6
652	aerosolised solids	6
653	natural environment	6
654	recycling process	6
655	volcanic ash	6
656	utensil	6
657	usage of an environment for community and social services	6
658	nuclear power reactor	6
659	meadow ecosystem	6
660	agricultural soil	6
661	biomaterial culturing unit	6
662	flood	6
663	stream mouth	6
664	leachate	6
665	chalk	6
666	pyrolysis	6
667	tropical marine condition	6
668	observatory system	6
669	creosote	6
670	humus	6
671	subsurface landform	6
672	air mass	6
673	coastal inlet	6
674	peak	5
675	melt pond	5
676	tephra	5
677	ice surface layer	5
678	plant litter	5
679	gaseous surface layer	5
680	tuff	5
681	scoria	5
682	rime	5
683	orchard	5
684	paper product	5
685	colloidal sediment	5
686	quicksand	5
687	mesoscale marine eddy	5
688	mangrove biome	5
689	smoke	5
690	geothermally active field	5
691	impermeable surface layer	5
692	planetary core	5
693	asphalt	5
694	solar panel array	5
695	well	5
696	mesotrophic water	5
697	conifer woodland	5
698	pumice	5
699	silica-based glass	5
700	brine	5
701	planktonic material	5
702	paraffin lantern	5
703	dry lake bed	5
704	ice lead	5
705	ecoregion	5
706	marine hydrothermal vent biome	5
707	hypereutrophic water	5
708	river mouth	5
709	ice accumulation zone	5
710	hygienic food production area	5
711	animal waste material	5
712	frost heave	5
713	meander	5
714	bare soil	5
715	subpolar environment	5
716	conveyor system	5
717	waste treatment plant	5
718	plastic	5
719	underground water body	5
720	mine tailing	5
721	shrimp pond	5
722	rural area	5
723	moraine	5
724	slush ice	5
725	marine reef biome	5
726	area of alpine tundra	5
727	institutional building	5
728	colorant fluid	5
729	factory	5
730	manufacturing equipment	5
731	drainage basin	5
732	montane biome	5
733	marine faunal bed	5
734	coal ash	5
735	material decumulation process	5
736	ice ablation zone	5
737	crater lake	5
738	hoar	5
739	research facility	5
740	marine aphotic zone	5
741	integumental system environment	5
742	mussel bed	4
743	fossil fuel power plant	4
744	tropical mixed forest	4
745	marine photic zone	4
746	metamorphic rock	4
747	mass of biological material	4
748	occluded front	4
749	lignite	4
750	ice loss process	4
751	field soil	4
752	high atmospheric level	4
753	enrichment culturing unit	4
754	freshwater ice	4
755	lake shore	4
756	meterorite impact	4
757	open-pit mine	4
758	igneous intrusion	4
759	ecosystem fragmentation process	4
760	lithification	4
761	saline water environment	4
762	mid-elevation mountain	4
763	high-elevation mountain	4
764	gaseous part of an atmosphere	4
765	archipelago	4
766	riverine flooding	4
767	subtropical grassland	4
768	neritic pelagic zone biome	4
769	natural gas	4
770	fishing gear	4
771	effusive eruption	4
772	air conditioning unit	4
773	tunnel	4
774	amorphous solid	4
775	mediterranean sea biome	4
776	plaster	4
777	primary cave	4
778	mussel reef	4
779	ocean basin	4
780	sea cliff	4
781	sea shore	4
782	brine channel formation process	4
783	bush area	4
784	container of an intermittent lake	4
785	geological fault	4
786	salt mass	4
787	tornado	4
788	paint thinner	4
789	refinery	4
790	low atmospheric level	4
791	third-order administrative region	4
792	biogenous sediment	4
793	silage	4
794	eating utensil	4
795	sports facility	4
796	montane forest	4
797	marine tidal flow process	4
798	sediment environment	4
799	petroleum enriched sediment	4
800	transport boat	4
801	prison facility	4
802	laboratory environment	4
803	anaerobic bioreactor	4
804	burnt brick	4
805	ranch	4
806	endorheic basin	4
807	marine wind mixed layer	4
808	abattoir	4
809	rhizosphere	4
810	explosion process	4
811	cryoconite deposit	4
812	equipment frame	4
813	marine cold-water sphere	4
814	manure storage space	4
815	animal trap	4
816	tile	4
817	usage of an environment for recreation	4
818	headwater	4
819	marine warm-water sphere	4
820	hummock	4
821	flash flooding	4
822	storm surge process	4
823	drumlin	4
824	unburnt brick	4
825	doline	4
826	outer space	4
827	glacial ice accumulation zone	4
828	marine pockmark	4
829	cold seep	4
830	concrete masonry unit	4
831	freshwater spring	4
832	polling station	4
833	bed base	4
834	bed frame	4
835	flattened elevation	4
836	mattress	4
837	sandur	4
838	lake bed	4
839	rockfall	4
840	impact crater	4
841	subpolar biome	4
842	anchialine pool	4
843	hydrocarbon gas emission process	4
844	terrace	4
845	permafrost methane explosion	4
846	lava flow	4
847	andesite	4
848	conference venue	4
849	coastal water body	4
850	emergency unit facility	4
851	dacite	4
852	rubber plantation	4
853	conveyor belt	4
854	mine drainage	4
855	marine supra-littoral zone	4
856	surface water	4
857	resin	4
858	ice cave	4
859	refined asphalt	4
860	dry valley	4
861	waste water	4
862	free atmosphere	4
863	hydrothermal fluid	4
864	city	4
865	continental rise	4
866	glacial ice ablation zone	4
867	dairy	4
868	university campus	4
869	estuarine tidal riverine open water surface layer	4
870	pharmacy	4
871	estuarine tidal riverine coastal surface layer	4
872	acidic water	4
873	delta	4
874	volcanic crater	4
875	scree	4
876	water-based rainfall	4
877	freezing rainfall	4
878	aquaculture process	4
879	allotment garden	4
880	brick exterior wall	3
881	mudflat	3
882	planetary mantle	3
883	subpolar coniferous forest biome	3
884	clay loam	3
885	oceanic crust	3
886	continental island	3
887	volcanic cave	3
888	merchant vessel	3
889	cloud part	3
890	englacial	3
891	textile	3
892	algal bloom	3
893	exosphere	3
894	lake coast	3
895	passenger train	3
896	embankment dam	3
897	speleothem	3
898	soda-lime glass	3
899	eaves	3
900	processing plant	3
901	bitumous coal	3
902	sub-bitumous coal	3
903	area of polar tundra	3
904	industrial waste material	3
905	dambo	3
906	fast ice	3
907	wastewater treatment plant	3
908	constructed swimming pool	3
909	crustacean farming process	3
910	pitfall trap	3
911	skin environment	3
912	carbon dioxide emission process	3
913	respirable suspended particulate matter	3
914	volcanic arc	3
915	carbon-bearing gas emission process	3
916	sea ice mass	3
917	grocery store	3
918	fuel oil	3
919	bar	3
920	area of attached faunal communities	3
921	second year ice formation	3
922	multiyear ice formation process	3
923	aerosol environment	3
924	quarry	3
925	lake sediment	3
926	upper montane	3
927	star	3
928	marsh	3
929	lower montane	3
930	marine upwelling biome	3
931	upper air	3
932	animal aquaculture process	3
933	liquid surface of an astronomical body	3
934	volcanic field	3
935	nutricline	3
936	truck	3
937	first year ice formation process	3
938	campground	3
939	safe environment	3
940	usage of an environment for infrastructure and utilities	3
941	harbour	3
942	dacitic lava	3
943	explosive eruption	3
944	liquefied hydrocarbon gas	3
945	subalpine	3
946	animal litter	3
947	marine sediment	3
948	hatchery	3
949	tubular paraffin lantern	3
950	swamp forest	3
951	bubble	3
952	marine tidal flow zone	3
953	sclerophyllous forest	3
954	warehouse	3
955	freshwater congelation ice	3
956	palsa	3
957	hydrometeor	3
958	stormwater	3
959	dike	3
960	paddy field soil	3
961	slate	3
962	mafic lava	3
963	intermediate lava	3
964	monomictic lake	3
965	gill tissue material	3
966	volatile astrogeological material	3
967	ice lens	3
968	abandoned fishing gear	3
969	pebble	3
970	cell culture	3
971	colloidal suspension	3
972	aquarium	3
973	glacial surface layer	3
974	fibrous dust	3
975	switch	3
976	polymictic lake	3
977	wastewater treatment process	3
978	desalination process	3
979	market	3
980	natural monument	3
981	subtropical broadleaf forest biome	3
982	pipeline network	3
983	ash cone	3
984	long-term care facility	3
985	plant-associated environment	3
986	alpine tree line ecotone	3
987	arable	3
988	marginal sea biome	3
989	powdery snow	3
990	contaminated sludge	3
991	freshwater lake biome	3
992	environmental monitoring area	3
993	ice accumulation process	3
994	undersea feature	3
995	park	3
996	water-based cloud	3
997	dust from plant parts	3
998	covered latrine	3
999	diesel fuel	3
1000	gasoline	3
1001	Taylor column	3
1002	ice field	3
1003	upland soil	3
1004	alkaline flat	3
1005	active enrichment culturing unit	3
1006	telephone	3
1007	garden soil	3
1008	ice gain	3
1009	farm soil	3
1010	pole	3
1011	grassland soil	3
1012	paraffin wax	3
1013	particulate organic matter	3
1014	brackish water body	3
1015	dry stream valley	3
1016	ice shelf	3
1017	soil horizon	3
1018	pingo	3
1019	anthropogenic contamination feature	2
1020	colloid suspended in a hydrosphere	2
1021	humid air	2
1022	poultry manure	2
1023	flower strip	2
1024	irrigation canal	2
1025	digestive tract environment	2
1026	coal power plant	2
1027	alluvial fan	2
1028	animal feed	2
1029	weapons test site	2
1030	clathrate material	2
1031	electric power system	2
1032	active anaerobic enrichment culturing unit	2
1033	ecological corridor	2
1034	isothermal surface	2
1035	canyon	2
1036	sea surface layer	2
1037	tropical grassland	2
1038	charcoal	2
1039	acidic spring	2
1040	landslide lake	2
1041	plume	2
1042	booth	2
1043	stain	2
